date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:35	23487/23487	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:24%20GMT	https://colorlib.com/polygon/concept/pages/pricing.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/pricing.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:36	21585/21585	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:26%20GMT	https://colorlib.com/polygon/concept/pages/timeline.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/timeline.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:36	19389/19389	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:22%20GMT	https://colorlib.com/polygon/concept/pages/calendar.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/calendar.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:36	28339/28339	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:37%20GMT	https://colorlib.com/polygon/concept/pages/sortable-nestable-lists.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/sortable-nestable-lists.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:37	29760/29760	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:23%20GMT	https://colorlib.com/polygon/concept/pages/widgets.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/widgets.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:37	38501/38501	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:29%20GMT	https://colorlib.com/polygon/concept/pages/media-object.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/media-object.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:37	38310/38310	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:32%20GMT	https://colorlib.com/polygon/concept/pages/cropper-image.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/cropper-image.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:37	27162/27162	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:21%20GMT	https://colorlib.com/polygon/concept/pages/color-picker.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/color-picker.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:37	25970/25970	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:31%20GMT	https://colorlib.com/polygon/concept/pages/inbox.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/inbox.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:38	21447/21447	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:37%20GMT	https://colorlib.com/polygon/concept/pages/email-details.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/email-details.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:38	21342/21342	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:36%20GMT	https://colorlib.com/polygon/concept/pages/email-compose.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/email-compose.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:38	39946/39946	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:33%20GMT	https://colorlib.com/polygon/concept/pages/message-chat.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/message-chat.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:39	126610/126610	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:33%20GMT	https://colorlib.com/polygon/concept/pages/icon-fontawesome.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-fontawesome.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:39	259072/259072	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:26%20GMT	https://colorlib.com/polygon/concept/pages/icon-material.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-material.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
